STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geo_id,geography,Population,geography_income,median_income,geography_poverty,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female,geography_housing,Housing units,geography_owner_renter,Owner:renter occupancy,Owner occupied,Renter occupied,geography_vehicles,Vehicles available,Owner occupied_vehicles,Owner occupied - No vehicles available,Owner occupied - 1 vehicle available,Renter occupied_vehicles,Renter occupied - No vehicles available,Renter occupied - 1 vehicle available,geography_households,Population_households,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone,grocery_stores,grocery_stores_per_1000,area_sq_miles,population_density,poverty_rate,apartment_count,major_retailers,major_road_segments,road_access_score,population_score,income_score,apartment_score,competition_score,opportunity_score
12,095,016713,12095016713,1400000US12095016713,167.13,Census Tract 167.13,G5020,S,5685275,3543,+28.5564402,-081.2549581,1400000US12095016713,Census Tract 167.13; Orange County; Florida,9102,Census Tract 167.13; Orange County; Florida,61759.0,Census Tract 167.13; Orange County; Florida,8851,2028,1470,558,6823,3428,3395,Census Tract 167.13; Orange County; Florida,3198,Census Tract 167.13; Orange County; Florida,3045,2042,1003,Census Tract 167.13; Orange County; Florida,3045,2042,88,635,1003,62,318,Census Tract 167.13; Orange County; Florida,3045,2175,1410,765,203,562,870,504,366,0.0,0.0,2.1947424746340167,4147.183601355234,22.912665235566603,1.0,0.0,63.0,0.8707865168539326,0.9250936329588015,0.3143939393939394,0.6310861423220974,0.8745318352059925,0.7289836567926455
12,095,016731,12095016731,1400000US12095016731,167.31,Census Tract 167.31,G5020,S,41592789,570718,+28.4835047,-081.1615954,1400000US12095016731,Census Tract 167.31; Orange County; Florida,7932,Census Tract 167.31; Orange County; Florida,96019.0,Census Tract 167.31; Orange County; Florida,5488,221,53,168,5267,2765,2502,Census Tract 167.31; Orange County; Florida,2222,Census Tract 167.31; Orange County; Florida,1988,753,1235,Census Tract 167.31; Orange County; Florida,1988,753,0,173,1235,39,578,Census Tract 167.31; Orange County; Florida,1988,1259,960,299,115,184,729,389,340,2.0,0.2521432173474534,16.266499085459966,487.62797442321977,4.026967930029154,15.0,0.0,2.0,0.25280898876404495,0.8726591760299626,0.6515151515151515,0.8314606741573034,0.5674157303370786,0.7286176370446034
12,095,017116,12095017116,1400000US12095017116,171.16,Census Tract 171.16,G5020,S,11785571,7438344,+28.5268686,-081.6272080,1400000US12095017116,Census Tract 171.16; Orange County; Florida,8031,Census Tract 171.16; Orange County; Florida,173529.0,Census Tract 171.16; Orange County; Florida,8031,333,110,223,7698,3633,4065,Census Tract 171.16; Orange County; Florida,2995,Census Tract 171.16; Orange County; Florida,2792,2275,517,Census Tract 171.16; Orange County; Florida,2792,2275,34,315,517,22,290,Census Tract 171.16; Orange County; Florida,2792,2260,1857,403,169,234,532,430,102,1.0,0.12451749470800648,7.4171540438531345,1082.760308403677,4.1464325737766154,0.0,0.0,17.0,0.5037453183520599,0.8764044943820225,0.9734848484848485,0.3052434456928839,0.6891385767790262,0.7254085801838611
12,095,016811,12095016811,1400000US12095016811,168.11,Census Tract 168.11,G5020,S,8335564,633857,+28.3590397,-081.3260364,1400000US12095016811,Census Tract 168.11; Orange County; Florida,13170,Census Tract 168.11; Orange County; Florida,111311.0,Census Tract 168.11; Orange County; Florida,13170,185,45,140,12985,5924,7061,Census Tract 168.11; Orange County; Florida,4265,Census Tract 168.11; Orange County; Florida,3734,3136,598,Census Tract 168.11; Orange County; Florida,3734,3136,136,533,598,29,191,Census Tract 168.11; Orange County; Florida,3734,3322,2655,667,249,418,412,296,116,6.0,0.4555808656036447,3.46043115783198,3805.884122327471,1.404707668944571,22.0,1.0,49.0,0.8202247191011236,0.9812734082397003,0.7803030303030303,0.8576779026217228,0.33333333333333337,0.7219782090568607
12,095,016514,12095016514,1400000US12095016514,165.14,Census Tract 165.14,G5020,S,5440599,425615,+28.6019235,-081.1695091,1400000US12095016514,Census Tract 165.14; Orange County; Florida,6764,Census Tract 165.14; Orange County; Florida,117809.0,Census Tract 165.14; Orange County; Florida,6764,719,412,307,6045,2795,3250,Census Tract 165.14; Orange County; Florida,2535,Census Tract 165.14; Orange County; Florida,2383,1620,763,Census Tract 165.14; Orange County; Florida,2383,1620,37,266,763,0,181,Census Tract 165.14; Orange County; Florida,2383,1765,1355,410,68,342,618,341,277,0.0,0.0,2.2631609679499425,2988.740127542536,10.629804849201657,0.0,0.0,0.0,0.11797752808988764,0.7752808988764045,0.821969696969697,0.3052434456928839,0.8745318352059925,0.7203864487572353
12,095,012303,12095012303,1400000US12095012303,123.03,Census Tract 123.03,G5020,S,4288296,581944,+28.6017893,-081.4861409,1400000US12095012303,Census Tract 123.03; Orange County; Florida,9190,Census Tract 123.03; Orange County; Florida,86333.0,Census Tract 123.03; Orange County; Florida,9151,1893,701,1192,7258,3140,4118,Census Tract 123.03; Orange County; Florida,2568,Census Tract 123.03; Orange County; Florida,2528,1882,646,Census Tract 123.03; Orange County; Florida,2528,1882,109,251,646,65,91,Census Tract 123.03; Orange County; Florida,2528,2223,1615,608,98,510,305,241,64,0.0,0.0,1.8790118936661084,4890.868456436189,20.686263796306413,0.0,0.0,0.0,0.11797752808988764,0.9325842696629213,0.5833333333333334,0.3052434456928839,0.8745318352059925,0.7198501872659177
12,095,016743,12095016743,1400000US12095016743,167.43,Census Tract 167.43,G5020,S,3726848,118566,+28.5535775,-081.1847760,1400000US12095016743,Census Tract 167.43; Orange County; Florida,6981,Census Tract 167.43; Orange County; Florida,107212.0,Census Tract 167.43; Orange County; Florida,6981,434,319,115,6547,3170,3377,Census Tract 167.43; Orange County; Florida,2463,Census Tract 167.43; Orange County; Florida,2373,1484,889,Census Tract 167.43; Orange County; Florida,2373,1484,14,324,889,0,749,Census Tract 167.43; Orange County; Florida,2373,1787,1208,579,135,444,586,548,38,3.0,0.42973785990545765,1.4835476188537466,4705.61235196065,6.216874373298954,26.0,1.0,41.0,0.7696629213483146,0.8014981273408239,0.7386363636363636,0.8782771535580525,0.49250936329588013,0.7115849506298944
12,095,016750,12095016750,1400000US12095016750,167.50,Census Tract 167.50,G5020,S,10228484,91115,+28.5245620,-081.1477853,1400000US12095016750,Census Tract 167.50; Orange County; Florida,12106,Census Tract 167.50; Orange County; Florida,117609.0,Census Tract 167.50; Orange County; Florida,12081,326,170,156,11755,6042,5713,Census Tract 167.50; Orange County; Florida,4233,Census Tract 167.50; Orange County; Florida,4220,3363,857,Census Tract 167.50; Orange County; Florida,4220,3363,60,886,857,82,259,Census Tract 167.50; Orange County; Florida,4220,3327,2762,565,269,296,893,829,64,12.0,0.9912440112340988,3.9812517657354687,3040.7521835694865,2.6984521148911513,56.0,2.0,0.0,0.11797752808988764,0.9625468164794008,0.8181818181818182,0.9382022471910112,0.1966292134831461,0.69902962206333
12,095,015002,12095015002,1400000US12095015002,150.02,Census Tract 150.02,G5020,S,5130815,575746,+28.5973488,-081.5281743,1400000US12095015002,Census Tract 150.02; Orange County; Florida,6758,Census Tract 150.02; Orange County; Florida,101250.0,Census Tract 150.02; Orange County; Florida,6758,1043,519,524,5715,2838,2877,Census Tract 150.02; Orange County; Florida,2284,Census Tract 150.02; Orange County; Florida,2060,1758,302,Census Tract 150.02; Orange County; Florida,2060,1758,64,398,302,37,130,Census Tract 150.02; Orange County; Florida,2060,1588,1081,507,173,334,472,288,184,0.0,0.0,2.201698074535721,3069.4490212628634,15.433560224918615,0.0,0.0,0.0,0.11797752808988764,0.7715355805243446,0.7045454545454546,0.3052434456928839,0.8745318352059925,0.6957780047667689
12,095,017113,12095017113,1400000US12095017113,171.13,Census Tract 171.13,G5020,S,35299705,3724078,+28.4794167,-081.6315732,1400000US12095017113,Census Tract 171.13; Orange County; Florida,17717,Census Tract 171.13; Orange County; Florida,134728.0,Census Tract 171.13; Orange County; Florida,17694,400,164,236,17294,8126,9168,Census Tract 171.13; Orange County; Florida,5986,Census Tract 171.13; Orange County; Florida,5581,4057,1524,Census Tract 171.13; Orange County; Florida,5581,4057,49,599,1524,53,698,Census Tract 171.13; Orange County; Florida,5581,4479,3894,585,203,382,1102,690,412,22.0,1.2417452164587686,15.0565357259039,1176.698300494112,2.2606533288120265,46.0,3.0,30.0,0.6760299625468165,0.9925093632958801,0.9242424242424242,0.9138576779026217,0.0955056179775281,0.6940245148110318
