geo_id,geography,Population,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone
1400000US12095014100,Census Tract 141; Orange County; Florida,2553,1533,1268,265,38,227,1020,859,161
1400000US12095014201,Census Tract 142.01; Orange County; Florida,1960,1393,792,601,176,425,567,370,197
1400000US12095014202,Census Tract 142.02; Orange County; Florida,1608,1146,545,601,157,444,462,360,102
1400000US12095014301,Census Tract 143.01; Orange County; Florida,1587,887,626,261,67,194,700,422,278
1400000US12095014302,Census Tract 143.02; Orange County; Florida,1524,1263,544,719,223,496,261,169,92
1400000US12095014400,Census Tract 144; Orange County; Florida,1222,742,563,179,100,79,480,356,124
1400000US12095014502,Census Tract 145.02; Orange County; Florida,2063,987,458,529,152,377,1076,921,155
1400000US12095014503,Census Tract 145.03; Orange County; Florida,1744,498,204,294,86,208,1246,1218,28
1400000US12095014504,Census Tract 145.04; Orange County; Florida,2862,1538,911,627,166,461,1324,912,412
1400000US12095014601,Census Tract 146.01; Orange County; Florida,2527,1815,720,1095,232,863,712,682,30
1400000US12095014605,Census Tract 146.05; Orange County; Florida,1201,916,362,554,99,455,285,222,63
1400000US12095014606,Census Tract 146.06; Orange County; Florida,3296,2501,1085,1416,431,985,795,676,119
1400000US12095014607,Census Tract 146.07; Orange County; Florida,2823,1488,753,735,184,551,1335,1003,332
1400000US12095014608,Census Tract 146.08; Orange County; Florida,1719,1149,643,506,161,345,570,384,186
1400000US12095014609,Census Tract 146.09; Orange County; Florida,1933,1153,704,449,37,412,780,526,254
1400000US12095014701,Census Tract 147.01; Orange County; Florida,1922,1191,688,503,67,436,731,636,95
1400000US12095014702,Census Tract 147.02; Orange County; Florida,2467,1281,860,421,39,382,1186,940,246
1400000US12095014703,Census Tract 147.03; Orange County; Florida,916,619,324,295,65,230,297,255,42
1400000US12095014705,Census Tract 147.05; Orange County; Florida,3316,2044,1268,776,340,436,1272,723,549
1400000US12095014706,Census Tract 147.06; Orange County; Florida,2600,1289,973,316,150,166,1311,902,409
1400000US12095014804,Census Tract 148.04; Orange County; Florida,2109,1471,1198,273,81,192,638,593,45
1400000US12095014805,Census Tract 148.05; Orange County; Florida,2135,1342,768,574,115,459,793,638,155
1400000US12095014806,Census Tract 148.06; Orange County; Florida,1748,1314,961,353,94,259,434,403,31
1400000US12095014807,Census Tract 148.07; Orange County; Florida,2867,2139,1456,683,70,613,728,499,229
1400000US12095014809,Census Tract 148.09; Orange County; Florida,1261,926,861,65,24,41,335,299,36
1400000US12095014810,Census Tract 148.10; Orange County; Florida,2027,1716,1482,234,113,121,311,255,56
1400000US12095014811,Census Tract 148.11; Orange County; Florida,1933,1271,1091,180,60,120,662,521,141
1400000US12095014812,Census Tract 148.12; Orange County; Florida,2477,1607,1218,389,124,265,870,616,254
1400000US12095014813,Census Tract 148.13; Orange County; Florida,2025,1010,721,289,78,211,1015,828,187
1400000US12095014814,Census Tract 148.14; Orange County; Florida,2079,1685,1450,235,92,143,394,272,122
1400000US12095014815,Census Tract 148.15; Orange County; Florida,1705,1583,1344,239,99,140,122,104,18
