geo_id,geography,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female
1400000US12095014301,Census Tract 143.01; Orange County; Florida,4063,593,330,263,3470,1627,1843
1400000US12095014302,Census Tract 143.02; Orange County; Florida,5804,1554,631,923,4250,2585,1665
1400000US12095014400,Census Tract 144; Orange County; Florida,2666,194,100,94,2472,1414,1058
1400000US12095014502,Census Tract 145.02; Orange County; Florida,5393,1667,715,952,3726,1608,2118
1400000US12095014503,Census Tract 145.03; Orange County; Florida,2745,589,199,390,2156,1155,1001
1400000US12095014504,Census Tract 145.04; Orange County; Florida,6615,1472,625,847,5143,2578,2565
1400000US12095014601,Census Tract 146.01; Orange County; Florida,7662,1899,787,1112,5763,2607,3156
1400000US12095014605,Census Tract 146.05; Orange County; Florida,3892,512,174,338,3380,1681,1699
1400000US12095014606,Census Tract 146.06; Orange County; Florida,9638,2100,902,1198,7538,4063,3475
1400000US12095014607,Census Tract 146.07; Orange County; Florida,6061,520,255,265,5541,2706,2835
1400000US12095014608,Census Tract 146.08; Orange County; Florida,4835,1211,698,513,3624,1726,1898
1400000US12095014609,Census Tract 146.09; Orange County; Florida,5911,563,246,317,5348,2883,2465
1400000US12095014701,Census Tract 147.01; Orange County; Florida,5231,744,320,424,4487,2369,2118
1400000US12095014702,Census Tract 147.02; Orange County; Florida,5901,965,229,736,4936,2131,2805
1400000US12095014703,Census Tract 147.03; Orange County; Florida,2148,252,155,97,1896,939,957
1400000US12095014705,Census Tract 147.05; Orange County; Florida,9159,1105,606,499,8054,3752,4302
1400000US12095014706,Census Tract 147.06; Orange County; Florida,5879,1351,723,628,4528,1960,2568
1400000US12095014804,Census Tract 148.04; Orange County; Florida,5583,467,288,179,5116,2517,2599
1400000US12095014805,Census Tract 148.05; Orange County; Florida,6197,1350,267,1083,4847,2563,2284
1400000US12095014806,Census Tract 148.06; Orange County; Florida,4852,262,149,113,4590,2140,2450
1400000US12095014807,Census Tract 148.07; Orange County; Florida,8059,1057,435,622,7002,3251,3751
1400000US12095014809,Census Tract 148.09; Orange County; Florida,2924,30,12,18,2894,1520,1374
1400000US12095014810,Census Tract 148.10; Orange County; Florida,6531,175,133,42,6356,3195,3161
1400000US12095014811,Census Tract 148.11; Orange County; Florida,4514,299,124,175,4215,2158,2057
1400000US12095014812,Census Tract 148.12; Orange County; Florida,6596,1754,713,1041,4842,2728,2114
1400000US12095014813,Census Tract 148.13; Orange County; Florida,4276,814,385,429,3462,1546,1916
1400000US12095014814,Census Tract 148.14; Orange County; Florida,6131,216,59,157,5915,3248,2667
1400000US12095014815,Census Tract 148.15; Orange County; Florida,5533,61,11,50,5472,2395,3077
1400000US12095014904,Census Tract 149.04; Orange County; Florida,7574,1539,605,934,6035,2421,3614
1400000US12095014906,Census Tract 149.06; Orange County; Florida,6587,1022,509,513,5565,2679,2886
1400000US12095014908,Census Tract 149.08; Orange County; Florida,7526,1116,167,949,6410,3333,3077
1400000US12095014909,Census Tract 149.09; Orange County; Florida,3681,345,150,195,3336,1660,1676
1400000US12095015001,Census Tract 150.01; Orange County; Florida,1950,368,205,163,1582,903,679
1400000US12095015002,Census Tract 150.02; Orange County; Florida,6758,1043,519,524,5715,2838,2877
1400000US12095015003,Census Tract 150.03; Orange County; Florida,7211,1193,647,546,6018,3555,2463
1400000US12095015005,Census Tract 150.05; Orange County; Florida,3121,60,35,25,3061,1434,1627
1400000US12095015006,Census Tract 150.06; Orange County; Florida,4822,271,98,173,4551,2206,2345
1400000US12095015103,Census Tract 151.03; Orange County; Florida,6971,570,247,323,6401,3068,3333
1400000US12095015104,Census Tract 151.04; Orange County; Florida,6092,1576,557,1019,4516,1949,2567
1400000US12095015105,Census Tract 151.05; Orange County; Florida,4435,579,308,271,3856,1733,2123
1400000US12095015106,Census Tract 151.06; Orange County; Florida,7557,1095,645,450,6462,3480,2982
1400000US12095015202,Census Tract 152.02; Orange County; Florida,6801,1188,585,603,5613,2375,3238
1400000US12095015203,Census Tract 152.03; Orange County; Florida,2897,311,156,155,2586,1112,1474
1400000US12095015204,Census Tract 152.04; Orange County; Florida,5914,1059,381,678,4855,2415,2440
1400000US12095015300,Census Tract 153; Orange County; Florida,3457,266,102,164,3191,1572,1619
1400000US12095015501,Census Tract 155.01; Orange County; Florida,6045,505,295,210,5540,2764,2776
1400000US12095015601,Census Tract 156.01; Orange County; Florida,2481,70,39,31,2411,1214,1197
1400000US12095015602,Census Tract 156.02; Orange County; Florida,2073,62,29,33,2011,983,1028
1400000US12095015701,Census Tract 157.01; Orange County; Florida,2194,174,143,31,2020,972,1048
1400000US12095015702,Census Tract 157.02; Orange County; Florida,1520,57,22,35,1463,715,748
1400000US12095015801,Census Tract 158.01; Orange County; Florida,1842,11,2,9,1831,813,1018
1400000US12095015802,Census Tract 158.02; Orange County; Florida,2822,78,30,48,2744,1474,1270
1400000US12095015901,Census Tract 159.01; Orange County; Florida,2419,552,89,463,1867,746,1121
1400000US12095016001,Census Tract 160.01; Orange County; Florida,1034,101,48,53,933,421,512
1400000US12095016002,Census Tract 160.02; Orange County; Florida,2510,120,87,33,2390,1126,1264
1400000US12095016100,Census Tract 161; Orange County; Florida,4816,536,91,445,4280,2280,2000
1400000US12095016200,Census Tract 162; Orange County; Florida,6724,1023,454,569,5701,2799,2902
1400000US12095016301,Census Tract 163.01; Orange County; Florida,5287,986,433,553,4301,2063,2238
1400000US12095016302,Census Tract 163.02; Orange County; Florida,4067,781,376,405,3286,1600,1686
1400000US12095016402,Census Tract 164.02; Orange County; Florida,2763,252,70,182,2511,1268,1243
1400000US12095016406,Census Tract 164.06; Orange County; Florida,1690,482,213,269,1208,581,627
1400000US12095016407,Census Tract 164.07; Orange County; Florida,7389,1841,929,912,5548,2859,2689
1400000US12095016408,Census Tract 164.08; Orange County; Florida,2230,349,160,189,1881,1001,880
1400000US12095016409,Census Tract 164.09; Orange County; Florida,3020,41,2,39,2979,1537,1442
1400000US12095016411,Census Tract 164.11; Orange County; Florida,4715,390,248,142,4325,2546,1779
1400000US12095016412,Census Tract 164.12; Orange County; Florida,5132,303,168,135,4829,2335,2494
1400000US12095016413,Census Tract 164.13; Orange County; Florida,4314,402,161,241,3912,2043,1869
1400000US12095016414,Census Tract 164.14; Orange County; Florida,3583,280,154,126,3303,1471,1832
1400000US12095016503,Census Tract 165.03; Orange County; Florida,6712,1600,702,898,5112,3108,2004
1400000US12095016504,Census Tract 165.04; Orange County; Florida,4915,1311,556,755,3604,1892,1712
1400000US12095016505,Census Tract 165.05; Orange County; Florida,2573,286,140,146,2287,1217,1070
1400000US12095016509,Census Tract 165.09; Orange County; Florida,4548,849,436,413,3699,1930,1769
1400000US12095016510,Census Tract 165.10; Orange County; Florida,2894,1682,647,1035,1212,558,654
1400000US12095016511,Census Tract 165.11; Orange County; Florida,2985,698,228,470,2287,1403,884
1400000US12095016512,Census Tract 165.12; Orange County; Florida,4104,992,337,655,3112,1589,1523
1400000US12095016513,Census Tract 165.13; Orange County; Florida,4577,766,396,370,3811,1996,1815
1400000US12095016514,Census Tract 165.14; Orange County; Florida,6764,719,412,307,6045,2795,3250
1400000US12095016515,Census Tract 165.15; Orange County; Florida,0,0,0,0,0,0,0
1400000US12095016603,Census Tract 166.03; Orange County; Florida,8025,1850,1059,791,6175,3343,2832
