geo_id,geography,Population,geography_income,median_income,geography_poverty,Poverty,Below poverty level,Below poverty level - Male,Below poverty level - Female,At or above poverty level,At or above poverty level - Male,At or above poverty level - Female,geography_housing,Housing units,geography_owner_renter,Owner:renter occupancy,Owner occupied,Renter occupied,geography_vehicles,Vehicles available,Owner occupied_vehicles,Owner occupied - No vehicles available,Owner occupied - 1 vehicle available,Renter occupied_vehicles,Renter occupied - No vehicles available,Renter occupied - 1 vehicle available,geography_households,Population_households,Family households,Married-couple family households,Other family households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households,Householder living alone,Householder not living alone
1400000US12095011702,Census Tract 117.02; Orange County; Florida,3854,Census Tract 117.02; Orange County; Florida,36147.0,Census Tract 117.02; Orange County; Florida,3854,618,189,429,3236,1622,1614,Census Tract 117.02; Orange County; Florida,1849,Census Tract 117.02; Orange County; Florida,1515,564,951,Census Tract 117.02; Orange County; Florida,1515,564,11,207,951,224,478,Census Tract 117.02; Orange County; Florida,1515,825,453,372,27,345,690,631,59
1400000US12095012000,Census Tract 120; Orange County; Florida,8577,Census Tract 120; Orange County; Florida,60424.0,Census Tract 120; Orange County; Florida,8403,1538,791,747,6865,3575,3290,Census Tract 120; Orange County; Florida,2437,Census Tract 120; Orange County; Florida,2311,1004,1307,Census Tract 120; Orange County; Florida,2311,1004,4,489,1307,146,740,Census Tract 120; Orange County; Florida,2311,1704,627,1077,312,765,607,478,129
1400000US12095012100,Census Tract 121; Orange County; Florida,7756,Census Tract 121; Orange County; Florida,46196.0,Census Tract 121; Orange County; Florida,7745,1591,668,923,6154,2711,3443,Census Tract 121; Orange County; Florida,2515,Census Tract 121; Orange County; Florida,2360,895,1465,Census Tract 121; Orange County; Florida,2360,895,120,239,1465,181,734,Census Tract 121; Orange County; Florida,2360,1883,702,1181,175,1006,477,317,160
1400000US12095012201,Census Tract 122.01; Orange County; Florida,6263,Census Tract 122.01; Orange County; Florida,61916.0,Census Tract 122.01; Orange County; Florida,6113,1229,883,346,4884,2585,2299,Census Tract 122.01; Orange County; Florida,1971,Census Tract 122.01; Orange County; Florida,1687,913,774,Census Tract 122.01; Orange County; Florida,1687,913,14,296,774,27,199,Census Tract 122.01; Orange County; Florida,1687,1253,646,607,162,445,434,278,156
1400000US12095012202,Census Tract 122.02; Orange County; Florida,7266,Census Tract 122.02; Orange County; Florida,62180.0,Census Tract 122.02; Orange County; Florida,7234,982,382,600,6252,3328,2924,Census Tract 122.02; Orange County; Florida,2159,Census Tract 122.02; Orange County; Florida,2011,1261,750,Census Tract 122.02; Orange County; Florida,2011,1261,44,197,750,122,201,Census Tract 122.02; Orange County; Florida,2011,1663,798,865,268,597,348,229,119
1400000US12095012303,Census Tract 123.03; Orange County; Florida,9190,Census Tract 123.03; Orange County; Florida,86333.0,Census Tract 123.03; Orange County; Florida,9151,1893,701,1192,7258,3140,4118,Census Tract 123.03; Orange County; Florida,2568,Census Tract 123.03; Orange County; Florida,2528,1882,646,Census Tract 123.03; Orange County; Florida,2528,1882,109,251,646,65,91,Census Tract 123.03; Orange County; Florida,2528,2223,1615,608,98,510,305,241,64
1400000US12095012304,Census Tract 123.04; Orange County; Florida,8471,Census Tract 123.04; Orange County; Florida,70032.0,Census Tract 123.04; Orange County; Florida,8471,1185,657,528,7286,2663,4623,Census Tract 123.04; Orange County; Florida,2373,Census Tract 123.04; Orange County; Florida,2284,1445,839,Census Tract 123.04; Orange County; Florida,2284,1445,31,316,839,55,406,Census Tract 123.04; Orange County; Florida,2284,1911,1285,626,172,454,373,286,87
1400000US12095012305,Census Tract 123.05; Orange County; Florida,7344,Census Tract 123.05; Orange County; Florida,51323.0,Census Tract 123.05; Orange County; Florida,7344,1353,698,655,5991,2803,3188,Census Tract 123.05; Orange County; Florida,2588,Census Tract 123.05; Orange County; Florida,2297,1446,851,Census Tract 123.05; Orange County; Florida,2297,1446,142,543,851,233,388,Census Tract 123.05; Orange County; Florida,2297,1677,786,891,164,727,620,461,159
1400000US12095012306,Census Tract 123.06; Orange County; Florida,3993,Census Tract 123.06; Orange County; Florida,70997.0,Census Tract 123.06; Orange County; Florida,3976,300,125,175,3676,1835,1841,Census Tract 123.06; Orange County; Florida,1154,Census Tract 123.06; Orange County; Florida,1090,942,148,Census Tract 123.06; Orange County; Florida,1090,942,38,257,148,31,27,Census Tract 123.06; Orange County; Florida,1090,911,683,228,60,168,179,132,47
1400000US12095012307,Census Tract 123.07; Orange County; Florida,6889,Census Tract 123.07; Orange County; Florida,48826.0,Census Tract 123.07; Orange County; Florida,6868,1604,671,933,5264,2254,3010,Census Tract 123.07; Orange County; Florida,2352,Census Tract 123.07; Orange County; Florida,2352,1074,1278,Census Tract 123.07; Orange County; Florida,2352,1074,130,228,1278,255,731,Census Tract 123.07; Orange County; Florida,2352,1697,753,944,258,686,655,648,7
1400000US12095012402,Census Tract 124.02; Orange County; Florida,5130,Census Tract 124.02; Orange County; Florida,48281.0,Census Tract 124.02; Orange County; Florida,4982,1389,362,1027,3593,1882,1711,Census Tract 124.02; Orange County; Florida,2633,Census Tract 124.02; Orange County; Florida,2416,230,2186,Census Tract 124.02; Orange County; Florida,2416,230,0,104,2186,288,1311,Census Tract 124.02; Orange County; Florida,2416,956,445,511,132,379,1460,1129,331
1400000US12095012403,Census Tract 124.03; Orange County; Florida,6568,Census Tract 124.03; Orange County; Florida,46033.0,Census Tract 124.03; Orange County; Florida,6560,1611,787,824,4949,2032,2917,Census Tract 124.03; Orange County; Florida,2277,Census Tract 124.03; Orange County; Florida,2142,1107,1035,Census Tract 124.03; Orange County; Florida,2142,1107,189,190,1035,154,384,Census Tract 124.03; Orange County; Florida,2142,1383,570,813,141,672,759,486,273
1400000US12095012404,Census Tract 124.04; Orange County; Florida,6259,Census Tract 124.04; Orange County; Florida,78209.0,Census Tract 124.04; Orange County; Florida,6124,824,339,485,5300,2674,2626,Census Tract 124.04; Orange County; Florida,1983,Census Tract 124.04; Orange County; Florida,1845,788,1057,Census Tract 124.04; Orange County; Florida,1845,788,12,173,1057,185,363,Census Tract 124.04; Orange County; Florida,1845,1193,370,823,131,692,652,339,313
1400000US12095012405,Census Tract 124.05; Orange County; Florida,4854,Census Tract 124.05; Orange County; Florida,45189.0,Census Tract 124.05; Orange County; Florida,4852,742,345,397,4110,1922,2188,Census Tract 124.05; Orange County; Florida,2087,Census Tract 124.05; Orange County; Florida,1915,698,1217,Census Tract 124.05; Orange County; Florida,1915,698,0,209,1217,35,889,Census Tract 124.05; Orange County; Florida,1915,1247,500,747,0,747,668,464,204
1400000US12095012500,Census Tract 125; Orange County; Florida,2342,Census Tract 125; Orange County; Florida,55924.0,Census Tract 125; Orange County; Florida,2342,306,240,66,2036,1046,990,Census Tract 125; Orange County; Florida,1298,Census Tract 125; Orange County; Florida,1089,663,426,Census Tract 125; Orange County; Florida,1089,663,30,234,426,8,285,Census Tract 125; Orange County; Florida,1089,453,364,89,25,64,636,455,181
1400000US12095012600,Census Tract 126; Orange County; Florida,5573,Census Tract 126; Orange County; Florida,124783.0,Census Tract 126; Orange County; Florida,5523,32,19,13,5491,2766,2725,Census Tract 126; Orange County; Florida,2608,Census Tract 126; Orange County; Florida,2407,1733,674,Census Tract 126; Orange County; Florida,2407,1733,104,447,674,56,298,Census Tract 126; Orange County; Florida,2407,1402,1307,95,16,79,1005,550,455
1400000US12095012701,Census Tract 127.01; Orange County; Florida,5607,Census Tract 127.01; Orange County; Florida,102303.0,Census Tract 127.01; Orange County; Florida,5299,887,339,548,4412,2302,2110,Census Tract 127.01; Orange County; Florida,2655,Census Tract 127.01; Orange County; Florida,2424,1622,802,Census Tract 127.01; Orange County; Florida,2424,1622,0,552,802,55,487,Census Tract 127.01; Orange County; Florida,2424,1234,938,296,143,153,1190,747,443
1400000US12095012800,Census Tract 128; Orange County; Florida,3860,Census Tract 128; Orange County; Florida,154886.0,Census Tract 128; Orange County; Florida,3844,140,68,72,3704,1776,1928,Census Tract 128; Orange County; Florida,1717,Census Tract 128; Orange County; Florida,1557,1408,149,Census Tract 128; Orange County; Florida,1557,1408,9,255,149,0,139,Census Tract 128; Orange County; Florida,1557,1215,1100,115,58,57,342,324,18
1400000US12095012900,Census Tract 129; Orange County; Florida,4113,Census Tract 129; Orange County; Florida,108304.0,Census Tract 129; Orange County; Florida,4083,221,149,72,3862,1456,2406,Census Tract 129; Orange County; Florida,2243,Census Tract 129; Orange County; Florida,2021,868,1153,Census Tract 129; Orange County; Florida,2021,868,31,361,1153,87,564,Census Tract 129; Orange County; Florida,2021,923,634,289,24,265,1098,682,416
1400000US12095013201,Census Tract 132.01; Orange County; Florida,4648,Census Tract 132.01; Orange County; Florida,66189.0,Census Tract 132.01; Orange County; Florida,4616,930,360,570,3686,2046,1640,Census Tract 132.01; Orange County; Florida,1648,Census Tract 132.01; Orange County; Florida,1511,1085,426,Census Tract 132.01; Orange County; Florida,1511,1085,40,428,426,95,148,Census Tract 132.01; Orange County; Florida,1511,1099,799,300,96,204,412,241,171
