GEOID,Population,median_income,poverty_rate,housing_units,population_density,grocery_stores,grocery_stores_per_1000,apartment_count,major_retailers,major_road_segments,population_score,income_score,apartment_score,competition_score,road_access_score,opportunity_score,location_rank,nearest_grocery_m,nearest_grocery_miles,nearest_retailer_m,nearest_retailer_miles,nearest_road_m,nearest_road_miles,grocery_stores_per_10000,grocery_access_score,retail_access_score,accessibility_score,final_location_score,demand_score,accessibility_score_final,underserved_score,site_selection_score,site_category,site_rank
12095017814,7218,135497.0,14.168748265334443,2282,1779.0707526308684,0.0,0.0,0.0,0.0,0.0,0.8089887640449438,0.928030303030303,0.3052434456928839,1.0,0.1550088725875132,0.6523131596867553,130,4120.774454049099,2.560530535453638,4264.758655466328,2.6499981703516013,5941.8681437004625,3.6921056925681905,0.0,0.21040655931839067,0.2202775621692989,0.19022168519622132,0.5136857173395951,0.31233489684320376,0.18745180085967744,0.5689145442489957,0.5193157733341165,Low,186
12095017122,2657,117895.0,10.048927361686113,1668,2093.1663675482487,1.0,0.3763643206624012,1.0,0.0,0.0,0.14232209737827714,0.8257575757575758,0.6310861423220974,0.9969758064516129,0.3633921682473717,0.4891258086482806,180,1309.659917699948,0.8137849444866654,1748.2036363225918,1.0862833777754115,2381.4234236426296,1.4797479119707344,3.763643206624012,0.510267491901443,0.4646490062138865,0.4423936653023032,0.4751061656444874,0.2164514989138755,0.43504989911959957,0.4605658088924509,0.5187399022141991,Low,187
12095016402,2796,58464.0,9.120521172638437,1112,2754.725838373033,5.0,1.78826895565093,13.0,2.0,6.0,0.15355805243445692,0.24621212121212122,0.8089887640449438,0.9554672675521821,0.6377620453902898,0.4106209567585972,178,912.8671459694789,0.5672293468453474,828.2508798494849,0.5146512366836953,852.8563703943634,0.5299403796791509,17.8826895565093,0.6064258984261073,0.6799220014157952,0.6336595778097178,0.4775325430739334,0.14565177222723236,0.635226385157927,0.4573670529649262,0.5176828714846257,Low,188
12095013507,9445,62196.0,20.921122286924298,4189,2187.099588672239,30.0,3.1762837480148227,10.0,4.0,92.0,0.9400749063670412,0.32954545454545453,0.7902621722846442,0.8504506641366224,0.4971959815978822,0.6003681477698332,55,1222.5624381702867,0.759665079790453,1236.140018198724,0.7681017968804208,1453.9821774165175,0.9034626390731363,31.762837480148225,0.529066357062946,0.567297676332052,0.5239644707307417,0.5774470446581057,0.2512268707533786,0.5223709519574885,0.5726433646322575,0.5173644743970616,Low,189
12095013605,3746,64976.0,21.316783594171614,1660,4952.752502672377,6.0,1.601708489054992,0.0,2.0,18.0,0.27340823970037453,0.3560606060606061,0.3052434456928839,0.9524430740037951,0.5836873845445448,0.3728847463398025,218,870.6723381355959,0.5410107087953824,933.5672695414124,0.5800918073086999,1053.9030506556667,0.654864995088475,16.01708489054992,0.6184613573504452,0.647382494486305,0.610335995655257,0.44412012113443883,0.15421809860928695,0.608597297014962,0.47798590604786817,0.5169382116526325,Low,190
12095012201,6263,61916.0,20.104694912481598,1971,7081.740791272147,4.0,0.6386715631486508,0.0,0.0,0.0,0.6816479400749064,0.3181818181818182,0.3052434456928839,0.9879032258064516,0.405283984641253,0.42272727272727273,228,1370.4378290993568,0.851550587754611,1600.9526597021468,0.9947858628746538,2035.8978384790116,1.2650482671691146,6.386715631486508,0.4978003687203262,0.49081267088579245,0.4593962755217902,0.433727973565628,0.18897590157586197,0.45477045631783647,0.5401141657932912,0.5169268362151767,Low,191
12095014908,7611,44641.0,14.828594206749933,2279,6321.965178329235,0.0,0.0,0.0,0.0,0.0,0.8539325842696629,0.06060606060606061,0.3052434456928839,1.0,0.3276489079004852,0.5334354783792986,146,1337.9949068776136,0.8313914904940234,1523.3855693916853,0.9465879074900613,2732.580219177556,1.6979466286745133,0.0,0.5043912736158019,0.5055839181379319,0.43393285623410127,0.5035846917357394,0.18454267860776055,0.42509573794833533,0.5781114708061937,0.5166473661133907,Low,192
12095013606,4119,68750.0,24.204904102937604,1587,1436.9319924536617,21.0,5.098324836125273,15.0,0.0,50.0,0.3445692883895131,0.38636363636363635,0.8314606741573034,0.936491935483871,0.5418243145405186,0.47256128702757916,137,698.4145349250989,0.4339746722422918,1551.4048653222865,0.9639982908081096,1233.616954712324,0.766534037913786,50.98324836125273,0.6721612751386116,0.5001645074745018,0.5856271373665525,0.5064810421292711,0.1838929903071023,0.5791102893366478,0.46252124724304833,0.5165789593596366,Low,193
12095014909,3742,98203.0,9.372453137734311,1011,5337.08211776484,0.0,0.0,0.0,0.0,0.0,0.2696629213483146,0.6818181818181818,0.3052434456928839,1.0,0.42688839150344027,0.4805498808307797,191,1802.33290309742,1.1199177448062192,1802.33290309742,1.1199177448062192,1880.0890952381042,1.1682332026205113,0.0,0.4220010133771315,0.4555989806434978,0.4306755580809283,0.46558758400582423,0.20313293482044115,0.4309199269872437,0.48756971800772264,0.5161941311263976,Low,194
12095016737,12795,118326.0,5.666275889019149,4184,93.30149921674389,2.0,0.15631105900742479,5.0,1.0,0.0,0.9775280898876404,0.8333333333333334,0.7340823970037453,0.9792457305502846,0.006634247154308793,0.6892322097378276,173,16062.333261133055,9.980671168583632,16499.498967850188,10.252313344971732,19093.07893145519,11.863889219119834,1.5631105900742477,0.0,0.0,0.0026536988617235175,0.4832586564749964,0.38013014509510024,0.002985411219438957,0.6962008482541089,0.5160429442724241,Low,195
12095014100,6153,88675.0,10.104302477183833,2591,2395.8841156965004,18.0,2.9254022428083863,3.0,1.0,96.0,0.6629213483146067,0.6098484848484849,0.702247191011236,0.9308586337760911,0.47578351239040023,0.5771514300306435,89,1535.5183230845507,0.954126851117319,1905.911138464625,1.1842782764061786,1572.30839399867,0.9769871413437213,29.254022428083864,0.46637001425064545,0.4390583714308337,0.4646730849425851,0.543407926504226,0.23036158653318317,0.4651437598495728,0.5149593172699353,0.5159269084430087,Low,196
12095012500,2342,55924.0,13.065755764304013,1298,2960.2002016590677,2.0,0.8539709649871904,0.0,0.0,40.0,0.0898876404494382,0.20454545454545456,0.3052434456928839,0.9939516129032258,0.6647399270501377,0.38414623765747363,208,739.3067752002156,0.4593839323352966,1797.4163919021082,1.11686276638314,763.4914417056362,0.47441158739563216,8.539709649871904,0.6587004489438467,0.4564091117129452,0.6206579727401829,0.4550997581822864,0.11897114497265335,0.6209599466454974,0.4515813233116384,0.5151240635202924,Low,197
