GEOID,Population,median_income,poverty_rate,housing_units,population_density,grocery_stores,grocery_stores_per_1000,apartment_count,major_retailers,major_road_segments,population_score,income_score,apartment_score,competition_score,road_access_score,opportunity_score,location_rank
12095017401,8093,109653.0,8.632822317165118,2871,2508.833709991205,0.0,0.0,5.0,0.0,26.0,0.8838951310861424,0.7651515151515151,0.7340823970037453,0.8745318352059925,0.7715355805243446,0.8169262853251618,1
12095017120,6402,184514.0,0.937207122774133,2563,1976.83676864979,0.0,0.0,9.0,0.0,11.0,0.700374531835206,0.9772727272727273,0.7808988764044944,0.8745318352059925,0.6048689138576779,0.7872276132107592,2
12095016748,7250,120342.0,9.227586206896552,2265,6220.47972450544,0.0,0.0,101.0,0.0,0.0,0.8164794007490637,0.8522727272727273,0.9850187265917603,0.8745318352059925,0.20786516853932585,0.7787772386789241,3
12095016811,13170,111311.0,1.404707668944571,4265,4092.12182987258,6.0,0.4555808656036447,22.0,1.0,42.0,0.9812734082397003,0.7803030303030303,0.8576779026217228,0.33333333333333337,0.8707865168539326,0.7478506979911475,4
12095017114,10387,120799.0,8.183306055646481,3768,3360.727868776214,6.0,0.5776451333397515,65.0,1.0,14.0,0.951310861423221,0.8560606060606061,0.9550561797752809,0.33333333333333337,0.6647940074906367,0.7403004766768813,5
12095016736,14231,121250.0,8.333333333333332,5133,1448.1008832219568,20.0,1.4053826154170475,41.0,1.0,29.0,0.9850187265917603,0.865530303030303,0.9044943820224719,0.1123595505617978,0.7883895131086143,0.7033314181137214,6
12095016747,5719,145575.0,2.902605350585767,1970,3052.8627426716125,0.0,0.0,10.0,0.0,0.0,0.5917602996254682,0.9356060606060606,0.7902621722846442,0.8745318352059925,0.20786516853932585,0.696146152536602,7
12095016749,6330,124511.0,12.203228869895536,2113,4340.060091499403,0.0,0.0,3.0,0.0,0.0,0.6853932584269663,0.8863636363636364,0.702247191011236,0.8745318352059925,0.20786516853932585,0.6945650323459313,8
12095016737,12795,118326.0,5.666275889019149,4184,93.30149921674389,2.0,0.15631105900742479,5.0,1.0,0.0,0.9775280898876404,0.8333333333333334,0.7340823970037453,0.5674157303370786,0.20786516853932585,0.6892322097378276,9
12095016802,21905,119030.0,1.8653426755138973,8046,654.3083611105095,99.0,4.5195160922163895,11.0,6.0,111.0,0.9962546816479401,0.8409090909090909,0.799625468164794,0.011235955056179803,0.9962546816479401,0.6873723186925433,10
12095016735,12767,115538.0,3.9555102999921674,4846,3472.3997677500856,18.0,1.4098848594031488,21.0,1.0,27.0,0.9737827715355806,0.7992424242424242,0.8539325842696629,0.1292134831460674,0.7808988764044944,0.6835567756213823,11
12095014000,6420,115417.0,6.947040498442368,2792,3219.57312765777,4.0,0.6230529595015577,5.0,0.0,38.0,0.7078651685393258,0.7954545454545454,0.7340823970037453,0.449438202247191,0.8333333333333334,0.68046050391556,12
12095016503,7850,111146.0,23.837902264600714,2693,3795.795241283297,26.0,3.3121019108280256,55.0,1.0,65.0,0.8689138576779026,0.7765151515151515,0.9307116104868914,0.07116104868913853,0.9400749063670412,0.6786495573714675,13
12095014606,9778,59118.0,21.788752853289065,3822,6078.354241730526,6.0,0.6136224176723256,205.0,0.0,26.0,0.947565543071161,0.25757575757575757,1.0,0.33333333333333337,0.7715355805243446,0.6745914198161389,14
12095018202,4423,129231.0,9.59188379063869,2103,7234.621934995547,0.0,0.0,71.0,0.0,0.0,0.3782771535580524,0.9090909090909091,0.9662921348314607,0.8745318352059925,0.20786516853932585,0.6740040858018386,15
12095016511,5715,74891.0,23.38358458961474,1686,4773.664300434383,2.0,0.34995625546806647,91.0,0.0,26.0,0.5880149812734082,0.4772727272727273,0.9812734082397003,0.5674157303370786,0.7715355805243446,0.6724336057201225,16
