geo_id,geography,Housing units
1400000US12095014909,Census Tract 149.09; Orange County; Florida,1011
1400000US12095015001,Census Tract 150.01; Orange County; Florida,474
1400000US12095015002,Census Tract 150.02; Orange County; Florida,2284
1400000US12095015003,Census Tract 150.03; Orange County; Florida,2088
1400000US12095015005,Census Tract 150.05; Orange County; Florida,1162
1400000US12095015006,Census Tract 150.06; Orange County; Florida,1575
1400000US12095015103,Census Tract 151.03; Orange County; Florida,3041
1400000US12095015104,Census Tract 151.04; Orange County; Florida,2110
1400000US12095015105,Census Tract 151.05; Orange County; Florida,1360
1400000US12095015106,Census Tract 151.06; Orange County; Florida,2641
1400000US12095015202,Census Tract 152.02; Orange County; Florida,2589
1400000US12095015203,Census Tract 152.03; Orange County; Florida,1725
1400000US12095015204,Census Tract 152.04; Orange County; Florida,2920
1400000US12095015300,Census Tract 153; Orange County; Florida,1812
1400000US12095015501,Census Tract 155.01; Orange County; Florida,3563
1400000US12095015601,Census Tract 156.01; Orange County; Florida,1059
1400000US12095015602,Census Tract 156.02; Orange County; Florida,753
1400000US12095015701,Census Tract 157.01; Orange County; Florida,1065
1400000US12095015702,Census Tract 157.02; Orange County; Florida,676
1400000US12095015801,Census Tract 158.01; Orange County; Florida,710
1400000US12095015802,Census Tract 158.02; Orange County; Florida,1027
1400000US12095015901,Census Tract 159.01; Orange County; Florida,1488
1400000US12095016001,Census Tract 160.01; Orange County; Florida,707
1400000US12095016002,Census Tract 160.02; Orange County; Florida,1135
1400000US12095016100,Census Tract 161; Orange County; Florida,2280
1400000US12095016200,Census Tract 162; Orange County; Florida,3206
1400000US12095016301,Census Tract 163.01; Orange County; Florida,2946
1400000US12095016302,Census Tract 163.02; Orange County; Florida,1838
1400000US12095016402,Census Tract 164.02; Orange County; Florida,1112
1400000US12095016406,Census Tract 164.06; Orange County; Florida,1104
1400000US12095016407,Census Tract 164.07; Orange County; Florida,3292
1400000US12095016408,Census Tract 164.08; Orange County; Florida,1088
1400000US12095016409,Census Tract 164.09; Orange County; Florida,1178
1400000US12095016411,Census Tract 164.11; Orange County; Florida,1651
1400000US12095016412,Census Tract 164.12; Orange County; Florida,1789
1400000US12095016413,Census Tract 164.13; Orange County; Florida,1823
1400000US12095016414,Census Tract 164.14; Orange County; Florida,1730
1400000US12095016503,Census Tract 165.03; Orange County; Florida,2693
1400000US12095016504,Census Tract 165.04; Orange County; Florida,2027
1400000US12095016505,Census Tract 165.05; Orange County; Florida,1250
1400000US12095016509,Census Tract 165.09; Orange County; Florida,2537
1400000US12095016510,Census Tract 165.10; Orange County; Florida,1767
1400000US12095016511,Census Tract 165.11; Orange County; Florida,1686
1400000US12095016512,Census Tract 165.12; Orange County; Florida,2170
1400000US12095016513,Census Tract 165.13; Orange County; Florida,2025
1400000US12095016514,Census Tract 165.14; Orange County; Florida,2535
1400000US12095016515,Census Tract 165.15; Orange County; Florida,0
1400000US12095016603,Census Tract 166.03; Orange County; Florida,2531
1400000US12095016604,Census Tract 166.04; Orange County; Florida,1857
1400000US12095016605,Census Tract 166.05; Orange County; Florida,648
1400000US12095016606,Census Tract 166.06; Orange County; Florida,940
1400000US12095016607,Census Tract 166.07; Orange County; Florida,2404
1400000US12095016709,Census Tract 167.09; Orange County; Florida,2463
1400000US12095016710,Census Tract 167.10; Orange County; Florida,1559
1400000US12095016713,Census Tract 167.13; Orange County; Florida,3198
1400000US12095016714,Census Tract 167.14; Orange County; Florida,1061
1400000US12095016715,Census Tract 167.15; Orange County; Florida,2256
1400000US12095016716,Census Tract 167.16; Orange County; Florida,1970
1400000US12095016717,Census Tract 167.17; Orange County; Florida,1312
1400000US12095016723,Census Tract 167.23; Orange County; Florida,1700
1400000US12095016724,Census Tract 167.24; Orange County; Florida,2459
1400000US12095016728,Census Tract 167.28; Orange County; Florida,2101
1400000US12095016731,Census Tract 167.31; Orange County; Florida,2222
1400000US12095016733,Census Tract 167.33; Orange County; Florida,2420
1400000US12095016735,Census Tract 167.35; Orange County; Florida,4846
1400000US12095016736,Census Tract 167.36; Orange County; Florida,5133
1400000US12095016737,Census Tract 167.37; Orange County; Florida,4184
1400000US12095016738,Census Tract 167.38; Orange County; Florida,1849
1400000US12095016739,Census Tract 167.39; Orange County; Florida,2484
1400000US12095016740,Census Tract 167.40; Orange County; Florida,1458
1400000US12095016741,Census Tract 167.41; Orange County; Florida,1941
1400000US12095016742,Census Tract 167.42; Orange County; Florida,2130
1400000US12095016743,Census Tract 167.43; Orange County; Florida,2463
1400000US12095016744,Census Tract 167.44; Orange County; Florida,1851
1400000US12095016745,Census Tract 167.45; Orange County; Florida,1422
1400000US12095016746,Census Tract 167.46; Orange County; Florida,1497
1400000US12095016747,Census Tract 167.47; Orange County; Florida,1970
1400000US12095016748,Census Tract 167.48; Orange County; Florida,2265
1400000US12095016749,Census Tract 167.49; Orange County; Florida,2113
1400000US12095016750,Census Tract 167.50; Orange County; Florida,4233
1400000US12095016751,Census Tract 167.51; Orange County; Florida,2173
1400000US12095016752,Census Tract 167.52; Orange County; Florida,1364
1400000US12095016753,Census Tract 167.53; Orange County; Florida,2961
1400000US12095016754,Census Tract 167.54; Orange County; Florida,1566
1400000US12095016755,Census Tract 167.55; Orange County; Florida,2549
1400000US12095016756,Census Tract 167.56; Orange County; Florida,1032
1400000US12095016802,Census Tract 168.02; Orange County; Florida,8046
1400000US12095016803,Census Tract 168.03; Orange County; Florida,982
1400000US12095016804,Census Tract 168.04; Orange County; Florida,2579
1400000US12095016808,Census Tract 168.08; Orange County; Florida,561
1400000US12095016809,Census Tract 168.09; Orange County; Florida,2850
1400000US12095016810,Census Tract 168.10; Orange County; Florida,3889
1400000US12095016811,Census Tract 168.11; Orange County; Florida,4265
1400000US12095016812,Census Tract 168.12; Orange County; Florida,2415
1400000US12095016813,Census Tract 168.13; Orange County; Florida,1034
1400000US12095016814,Census Tract 168.14; Orange County; Florida,1909
1400000US12095016902,Census Tract 169.02; Orange County; Florida,1995
1400000US12095016904,Census Tract 169.04; Orange County; Florida,1351
1400000US12095016906,Census Tract 169.06; Orange County; Florida,2211
1400000US12095016907,Census Tract 169.07; Orange County; Florida,2994
1400000US12095016908,Census Tract 169.08; Orange County; Florida,1043
1400000US12095016909,Census Tract 169.09; Orange County; Florida,1850
1400000US12095016910,Census Tract 169.10; Orange County; Florida,435
1400000US12095016911,Census Tract 169.11; Orange County; Florida,4085
1400000US12095017001,Census Tract 170.01; Orange County; Florida,3350
1400000US12095017004,Census Tract 170.04; Orange County; Florida,2911
1400000US12095017006,Census Tract 170.06; Orange County; Florida,1622
1400000US12095017011,Census Tract 170.11; Orange County; Florida,1827
1400000US12095017012,Census Tract 170.12; Orange County; Florida,1044
1400000US12095017013,Census Tract 170.13; Orange County; Florida,3215
1400000US12095017015,Census Tract 170.15; Orange County; Florida,3111
1400000US12095017018,Census Tract 170.18; Orange County; Florida,2752
1400000US12095017019,Census Tract 170.19; Orange County; Florida,1687
1400000US12095017020,Census Tract 170.20; Orange County; Florida,3037
1400000US12095017021,Census Tract 170.21; Orange County; Florida,2055
1400000US12095017022,Census Tract 170.22; Orange County; Florida,6832
1400000US12095017023,Census Tract 170.23; Orange County; Florida,955
1400000US12095017024,Census Tract 170.24; Orange County; Florida,1543
1400000US12095017025,Census Tract 170.25; Orange County; Florida,1505
1400000US12095017026,Census Tract 170.26; Orange County; Florida,2237
1400000US12095017108,Census Tract 171.08; Orange County; Florida,4588
1400000US12095017109,Census Tract 171.09; Orange County; Florida,2357
1400000US12095017110,Census Tract 171.10; Orange County; Florida,2725
1400000US12095017111,Census Tract 171.11; Orange County; Florida,8951
1400000US12095017112,Census Tract 171.12; Orange County; Florida,6342
1400000US12095017113,Census Tract 171.13; Orange County; Florida,5986
1400000US12095017114,Census Tract 171.14; Orange County; Florida,3768
1400000US12095017115,Census Tract 171.15; Orange County; Florida,1587
1400000US12095017116,Census Tract 171.16; Orange County; Florida,2995
1400000US12095017117,Census Tract 171.17; Orange County; Florida,2429
1400000US12095017118,Census Tract 171.18; Orange County; Florida,1796
1400000US12095017119,Census Tract 171.19; Orange County; Florida,759
1400000US12095017120,Census Tract 171.20; Orange County; Florida,2563
1400000US12095017121,Census Tract 171.21; Orange County; Florida,2153
1400000US12095017122,Census Tract 171.22; Orange County; Florida,1668
1400000US12095017123,Census Tract 171.23; Orange County; Florida,2593
1400000US12095017200,Census Tract 172; Orange County; Florida,2544
1400000US12095017301,Census Tract 173.01; Orange County; Florida,1338
1400000US12095017302,Census Tract 173.02; Orange County; Florida,3299
1400000US12095017401,Census Tract 174.01; Orange County; Florida,2871
1400000US12095017402,Census Tract 174.02; Orange County; Florida,1875
1400000US12095017503,Census Tract 175.03; Orange County; Florida,2273
1400000US12095017504,Census Tract 175.04; Orange County; Florida,3502
1400000US12095017505,Census Tract 175.05; Orange County; Florida,1899
1400000US12095017506,Census Tract 175.06; Orange County; Florida,4844
1400000US12095017600,Census Tract 176; Orange County; Florida,2042
1400000US12095017701,Census Tract 177.01; Orange County; Florida,1897
1400000US12095017702,Census Tract 177.02; Orange County; Florida,884
1400000US12095017703,Census Tract 177.03; Orange County; Florida,1708
1400000US12095017805,Census Tract 178.05; Orange County; Florida,1130
1400000US12095017806,Census Tract 178.06; Orange County; Florida,1918
1400000US12095017807,Census Tract 178.07; Orange County; Florida,1521
1400000US12095017808,Census Tract 178.08; Orange County; Florida,1695
1400000US12095017809,Census Tract 178.09; Orange County; Florida,1241
1400000US12095017810,Census Tract 178.10; Orange County; Florida,2315
1400000US12095017811,Census Tract 178.11; Orange County; Florida,1244
1400000US12095017812,Census Tract 178.12; Orange County; Florida,3037
1400000US12095017813,Census Tract 178.13; Orange County; Florida,729
1400000US12095017814,Census Tract 178.14; Orange County; Florida,2282
1400000US12095017901,Census Tract 179.01; Orange County; Florida,2420
1400000US12095017902,Census Tract 179.02; Orange County; Florida,3595
1400000US12095018000,Census Tract 180; Orange County; Florida,1979
1400000US12095018100,Census Tract 181; Orange County; Florida,1136
1400000US12095018201,Census Tract 182.01; Orange County; Florida,2441
1400000US12095018202,Census Tract 182.02; Orange County; Florida,2103
1400000US12095018203,Census Tract 182.03; Orange County; Florida,910
1400000US12095018204,Census Tract 182.04; Orange County; Florida,975
1400000US12095018300,Census Tract 183; Orange County; Florida,1402
1400000US12095018400,Census Tract 184; Orange County; Florida,1195
1400000US12095018500,Census Tract 185; Orange County; Florida,1385
1400000US12095018700,Census Tract 187; Orange County; Florida,2389
1400000US12095018800,Census Tract 188; Orange County; Florida,3773
1400000US12095018901,Census Tract 189.01; Orange County; Florida,2180
1400000US12095018902,Census Tract 189.02; Orange County; Florida,4580
1400000US12095019000,Census Tract 190; Orange County; Florida,2862
1400000US12095990000,Census Tract 9900; Orange County; Florida,0
1400000US12095010201,Census Tract 102.01; Orange County; Florida,1557
1400000US12095010202,Census Tract 102.02; Orange County; Florida,2872
1400000US12095010300,Census Tract 103; Orange County; Florida,2257
1400000US12095010400,Census Tract 104; Orange County; Florida,558
1400000US12095010500,Census Tract 105; Orange County; Florida,714
1400000US12095010802,Census Tract 108.02; Orange County; Florida,1737
1400000US12095011000,Census Tract 110; Orange County; Florida,1843
1400000US12095011100,Census Tract 111; Orange County; Florida,1857
1400000US12095011200,Census Tract 112; Orange County; Florida,1747
1400000US12095011300,Census Tract 113; Orange County; Florida,2424
1400000US12095011600,Census Tract 116; Orange County; Florida,1914
1400000US12095011701,Census Tract 117.01; Orange County; Florida,1779
1400000US12095011702,Census Tract 117.02; Orange County; Florida,1849
1400000US12095012000,Census Tract 120; Orange County; Florida,2437
1400000US12095012100,Census Tract 121; Orange County; Florida,2515
1400000US12095012201,Census Tract 122.01; Orange County; Florida,1971
1400000US12095012202,Census Tract 122.02; Orange County; Florida,2159
1400000US12095012303,Census Tract 123.03; Orange County; Florida,2568
1400000US12095012304,Census Tract 123.04; Orange County; Florida,2373
1400000US12095012305,Census Tract 123.05; Orange County; Florida,2588
1400000US12095012306,Census Tract 123.06; Orange County; Florida,1154
1400000US12095012307,Census Tract 123.07; Orange County; Florida,2352
1400000US12095012402,Census Tract 124.02; Orange County; Florida,2633
1400000US12095012403,Census Tract 124.03; Orange County; Florida,2277
1400000US12095012404,Census Tract 124.04; Orange County; Florida,1983
