GEOID,Population,median_income,poverty_rate,housing_units,population_density,grocery_stores,grocery_stores_per_1000,apartment_count,major_retailers,major_road_segments,population_score,income_score,apartment_score,competition_score,road_access_score,opportunity_score,location_rank,nearest_grocery_m,nearest_grocery_miles,nearest_retailer_m,nearest_retailer_miles,nearest_road_m,nearest_road_miles,grocery_stores_per_10000,grocery_access_score,retail_access_score,accessibility_score,final_location_score,demand_score,accessibility_score_final,underserved_score,site_selection_score,site_category,site_rank
12095017113,17717,134728.0,2.2606533288120265,5986,1299.920759815698,22.0,1.2417452164587686,46.0,3.0,0.0,0.99250936329588,0.9242424242424242,0.9138576779026216,0.8893500948766604,0.1998630859398615,0.6245914198161389,28,252.64531936022337,0.1569865233040439,252.64531936022337,0.1569865233040439,4725.361229104037,2.9362033406804495,12.417452164587685,0.8572509301984912,0.9228032611063895,0.607406258676619,0.6194358714742829,0.5310962769239241,0.5745368664636875,0.7791266832660426,0.6720635808519095,High,1
12095014606,9778,59118.0,21.788752853289065,3822,6078.354241730526,6.0,0.6136224176723256,205.0,0.0,26.0,0.947565543071161,0.2575757575757575,1.0,0.9818548387096776,0.4399798753863341,0.6745914198161389,17,816.467009056598,0.5073290788399485,748.7348358353025,0.4652422576126064,1791.992009306394,1.1134922113024897,6.136224176723256,0.634537065197714,0.7064157039884829,0.5710899170313158,0.6435409689806919,0.4896899276460763,0.5613620575407469,0.6191458576840474,0.6646194199478879,High,2
12095017114,10387,120799.0,8.183306055646481,3768,3360.727868776214,6.0,0.5776451333397515,65.0,1.0,14.0,0.951310861423221,0.8560606060606061,0.9550561797752808,0.9671489563567364,0.5778661617000747,0.7403004766768813,2,363.1387614985058,0.2256439651799154,1862.340972021768,1.1572050301376011,1077.5208679996556,0.6695404264095529,5.776451333397516,0.80357424039328,0.4458959101429623,0.6417553428659344,0.7107369365335972,0.4193783588160951,0.630469938931274,0.6333975835703924,0.647329776576753,Moderate,3
12095016811,13170,111311.0,1.404707668944571,4265,4092.12182987258,6.0,0.4555808656036447,22.0,1.0,42.0,0.9812734082397004,0.7803030303030303,0.8576779026217228,0.9671489563567364,0.5128150749711918,0.7478506979911475,1,167.01676123558906,0.1037794040525761,1774.8744363790536,1.1028558446044183,1373.0751948959962,0.8531893708840348,4.555808656036446,0.9034411361339854,0.4601536592866844,0.6585332162994079,0.7210554534836255,0.3963720688164873,0.6390019132412681,0.6985249286306522,0.6463463899449347,Moderate,4
12095016002,2510,199853.0,4.780876494023905,1135,3051.427105109001,0.0,0.0,0.0,0.0,21.0,0.1235955056179775,0.9924242424242424,0.3052434456928839,1.0,0.993756143596049,0.5687138236295539,25,792.5462408776837,0.4924654025973835,1062.4055574259833,0.6601482078573526,35.440016305468674,0.0220214051846396,0.0,0.6418620145502796,0.6110641760026212,0.7764600984590557,0.6310377060784045,0.33374628391904,0.7940548049113442,0.4587386403525879,0.6381833385851438,Moderate,5
12095017112,16409,118277.0,6.338071127920454,6342,3507.762294631922,18.0,1.0969589859223596,0.0,2.0,34.0,0.9887640449438202,0.8295454545454546,0.3052434456928839,0.91615275142315,0.5342915734469129,0.5874467994552265,59,1230.4878214958517,0.7645896846763971,1270.8887892328182,0.789693682166658,1268.5606306200325,0.7882470314737138,10.969589859223596,0.5273080756754376,0.559177537604133,0.5364753671697668,0.5721553697695886,0.4303432114165328,0.5368245420583406,0.7549686780094337,0.6298448862061696,Moderate,6
12095018202,4423,129231.0,9.59188379063869,2103,7234.621934995547,0.0,0.0,71.0,0.0,0.0,0.3782771535580524,0.9090909090909092,0.9662921348314608,1.0,0.5809686174987271,0.6740040858018386,5,457.032631103628,0.2839869108802269,608.8561827837538,0.3783256921974132,1064.8817216038503,0.6616868249447292,0.0,0.7624730723745282,0.757631051623846,0.6889028862740714,0.6784737259435084,0.3460786125821506,0.6798276635302812,0.5035063770037833,0.6247476154392948,Moderate,7
12095011702,3854,36147.0,16.035288012454593,1849,4214.476237899833,1.0,0.2594706798131811,72.0,1.0,21.0,0.2921348314606741,0.0265151515151515,0.9700374531835206,0.9822699240986716,0.9985245570444432,0.5525727783452503,6,122.65360078298724,0.0762134141507267,122.65360078298724,0.0762134141507267,28.158313355801717,0.0174967647412869,2.594706798131811,0.929167810217301,1.0,0.9710769469046976,0.6781240289130845,0.2012134057542389,0.9745447842460546,0.4885778218414739,0.6189330785646554,Moderate,8
12095018201,4932,172628.0,4.114891016500306,2441,7211.352115545835,4.0,0.8110300081103001,55.0,1.0,0.0,0.4606741573033708,0.9696969696969696,0.9307116104868914,0.9731973434535104,0.4090798549004131,0.5903047327204631,45,575.7490612541002,0.357753880620986,644.9048193611318,0.4007252764860289,2007.5226692240344,1.2474167544192132,8.110300081103,0.715562467456734,0.7438242210236428,0.5986217731475875,0.5927998448486004,0.3984754627928186,0.5832976425197713,0.5089663051122975,0.6189055471683645,Moderate,9
12095016301,5487,54205.0,18.64951768488746,2946,4043.0639770223047,13.0,2.369236376890833,77.0,2.0,74.0,0.5468164794007491,0.1553030303030303,0.9775280898876404,0.9312737191650854,0.971017514422286,0.5441756043581886,11,189.9431939465374,0.1180252288799271,360.78371508672853,0.2241806071832551,71.07352713655688,0.0441630422933548,23.69236376890833,0.8906430670876022,0.8663464821260143,0.917933529029158,0.6563029817594794,0.2594056209283343,0.9219522513958924,0.5074382021340976,0.6182786346134476,Moderate,10
